,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class,doc
0,2383,0.4238355014687369,220.53968253968253,4.721359630717583,37.82539682539682,63,4.592592592592593,1.511959714645405,0.3646663869072597,40.530430363220994,0.013428451531682753,10,0.4009216589861751,0.0,0.08294930875576037,0.3870967741935484,0.12903225806451613,0.021821233738984473,0.015526647083508182,0.053294167016365926,2,1
1,2347,0.4243715381337878,165.6,4.535151256923732,29.3625,80,2.7665625,1.4695355773327652,0.3702599062633149,52.70935265764808,0.008095440988495952,10,0.46255506607929514,0.00881057268722467,0.06167400881057269,0.3436123348017621,0.12334801762114538,0.015764806135492117,0.017895185342991053,0.04516403919897742,2,2
2,2122,0.43920829406220546,152.05194805194805,4.397266729500471,27.558441558441558,77,4.8453364817001185,1.389726672950047,0.3430725730442978,61.292305286607856,0.013666352497643733,10,0.3531746031746032,0.0,0.07936507936507936,0.4523809523809524,0.11507936507936507,0.01932139491046183,0.01932139491046183,0.04806786050895382,2,3
3,2900,0.43137931034482757,145.17857142857142,4.502758620689655,25.892857142857142,112,2.549346301020408,1.4320689655172414,0.33620689655172414,59.400715517241395,0.019310344827586208,10,0.4452296819787986,0.007067137809187279,0.045936395759717315,0.3992932862190813,0.10247349823321555,0.021379310344827585,0.019310344827586208,0.03689655172413793,3,4
4,2363,0.4320778671180702,167.1125,4.503173931443081,29.5375,80,3.2550000000000003,1.455776555226407,0.3296656792213289,53.69574092784598,0.014811680067710538,10,0.5080645161290323,0.020161290322580645,0.05241935483870968,0.3387096774193548,0.08064516129032258,0.02581464240372408,0.016504443504020312,0.048666948793906054,2,5
5,1423,0.4209416725228391,131.67741935483872,4.669711876317638,22.951612903225808,62,1.4422476586888657,1.4757554462403373,0.3872101194659171,58.69020215129329,0.007730147575544624,10,0.5476190476190477,0.007936507936507936,0.03968253968253968,0.3492063492063492,0.05555555555555555,0.020379479971890373,0.016163035839775124,0.054111033028812365,2,6
6,1934,0.4095139607032058,154.72602739726028,4.74870734229576,26.493150684931507,73,2.8463126290110714,1.5351602895553258,0.3650465356773526,50.06989155841398,0.007238883143743537,10,0.4322916666666667,0.010416666666666666,0.020833333333333332,0.4114583333333333,0.125,0.017063081695966906,0.019131334022750777,0.03722854188210962,1,7
7,2540,0.41062992125984255,172.03529411764706,4.63503937007874,29.88235294117647,85,5.562076124567475,1.4960629921259843,0.33346456692913384,49.937482630847626,0.02637795275590551,10,0.38869257950530034,0.0,0.0176678445229682,0.5017667844522968,0.09187279151943463,0.017716535433070866,0.016929133858267716,0.04921259842519685,1,8
8,2935,0.4333901192504259,213.21794871794873,4.564224872231686,37.62820512820513,78,5.301775147928994,1.476320272572402,0.3100511073253833,43.745676735246604,0.020442930153321975,10,0.42578125,0.0,0.00390625,0.4921875,0.078125,0.020442930153321975,0.016013628620102215,0.06541737649063033,1,9
9,2233,0.4411106135244066,148.21951219512195,4.370353784146888,27.23170731707317,82,1.8926234384295062,1.4223018360949395,0.296909986565159,58.868081739538866,0.0017913121361397223,10,0.599009900990099,0.0,0.06930693069306931,0.3118811881188119,0.019801980198019802,0.012987012987012988,0.027765338110165697,0.054187192118226604,1,10
10,2767,0.4322370798698952,177.89772727272728,4.470545717383448,31.454545454545453,88,5.485278925619834,1.446331767256957,0.2869533791109505,52.54896885369783,0.014094687387061799,10,0.4479495268138801,0.022082018927444796,0.031545741324921134,0.4227129337539432,0.07570977917981073,0.02204553668232743,0.022406938923021324,0.04806649801228768,1,11
11,2783,0.4139417894358606,199.7375,4.651455264103485,34.8,80,3.51796875,1.4699964067553,0.33812432626661876,47.151303988501645,0.007186489399928135,10,0.4810126582278481,0.0,0.008438818565400843,0.4008438818565401,0.10970464135021098,0.023715415019762844,0.019762845849802372,0.05174272367948257,2,12
12,2070,0.4463768115942029,157.83333333333334,4.414009661835749,28.75,72,3.0935570987654324,1.4275362318840579,0.31739130434782614,56.88418478260872,0.0004830917874396135,10,0.5369458128078818,0.0,0.03940886699507389,0.3891625615763547,0.034482758620689655,0.01932367149758454,0.02705314009661836,0.05314009661835749,1,13
13,1303,0.4036838066001535,170.02272727272728,4.66615502686109,29.613636363636363,44,2.1694214876033056,1.483499616270146,0.3860322333077514,51.27309155445476,0.0061396776669224865,10,0.49523809523809526,0.009523809523809525,0.0,0.38095238095238093,0.11428571428571428,0.014581734458940905,0.011511895625479662,0.039907904834996163,1,14
14,1467,0.3967280163599182,127.77272727272727,4.656441717791411,22.227272727272727,66,2.184573002754821,1.474437627811861,0.3531015678254942,59.536894868934766,0.0027266530334014998,10,0.5064102564102564,0.00641025641025641,0.0,0.391025641025641,0.09615384615384616,0.024539877300613498,0.02794819359236537,0.049079754601226995,1,15
15,2641,0.40022718667171525,121.22307692307692,4.837940174176448,20.361538461538462,130,2.123076923076923,1.5422188564937525,0.34532374100719426,55.69632320216702,0.020068156001514577,10,0.5064102564102564,0.0,0.038461538461538464,0.3685897435897436,0.08653846153846154,0.01552442256720939,0.022718667171525937,0.03975766755017039,1,16
16,1729,0.4684788895315211,145.6875,4.320416425679584,27.015625,64,2.009765625,1.4193175245806824,0.3042220936957779,59.33987804547429,0.001156737998843262,10,0.6190476190476191,0.0,0.07142857142857142,0.2916666666666667,0.017857142857142856,0.013302486986697512,0.025448235974551765,0.05263157894736842,1,17
17,2630,0.43307984790874526,135.5909090909091,4.548669201520912,23.918181818181818,110,2.226859504132231,1.4596958174904944,0.3425855513307985,59.06777929484964,0.00988593155893536,10,0.5362776025236593,0.006309148264984227,0.07255520504731862,0.26813880126182965,0.1167192429022082,0.018250950570342206,0.01977186311787072,0.04790874524714829,1,18
18,2670,0.3872659176029963,174.7127659574468,5.0299625468164795,28.404255319148938,94,3.3391806247170663,1.6194756554307117,0.33071161048689135,40.997040401625625,0.018352059925093634,10,0.39501779359430605,0.0,0.014234875444839857,0.3736654804270463,0.21708185053380782,0.017602996254681647,0.012359550561797753,0.062172284644194754,1,19
19,1892,0.39323467230443976,134.26506024096386,4.8017970401691334,22.80722891566265,83,2.13761068369865,1.4994714587737843,0.3609936575052854,56.83037723834027,0.0047568710359408035,10,0.5175879396984925,0.0,0.020100502512562814,0.37185929648241206,0.09045226130653267,0.019556025369978858,0.021141649048625793,0.04492600422832981,1,20
